Telepules,min_votes,Korzet_count,entropy,p
Bokod,96,4,1.0397207708399179,0.5047
Bokor,11,2,0.6931471805599453,1.0
Boldog,132,6,1.7917594692280547,1.0
Boldogasszonyfa,2,6,1.3296613488547582,0.4055
Boldogkőváralja,102,2,0.6931471805599453,1.0
Boldogkőújfalu,29,2,0.6931471805599453,1.0
Boldva,115,4,1.3862943611198906,1.0
Bolhás,39,2,0.6931471805599453,1.0
Bolhó,71,2,0.6931471805599453,1.0
Boncodfölde,41,2,0.6931471805599453,1.0
Bonnya,28,2,0.6931471805599453,1.0
Bonyhád,20,34,2.0841033278799386,0.1444
Bonyhádvarasd,39,2,0.0,0.1008
Bordány,92,6,1.5607104090414063,0.8472
Borgáta,17,2,0.6931471805599453,1.0
Borjád,33,2,0.6931471805599453,1.0
Borota,133,2,0.6931471805599453,1.0
Borsfa,119,2,0.6931471805599453,1.0
Borsodbóta,74,2,0.6931471805599453,1.0
Borsodgeszt,44,2,0.6931471805599453,1.0
Borsodivánka,62,2,0.6931471805599453,1.0
Borsodnádasd,67,8,1.3862943611198906,0.1112
Borsodszentgyörgy,205,2,0.6931471805599453,1.0
Borsodszirák,141,2,0.6931471805599453,1.0
Borsosberény,86,2,0.6931471805599453,1.0
Borszörcsök,55,2,0.6931471805599453,1.0
Borzavár,80,2,0.6931471805599453,1.0
Bosta,9,2,0.0,0.1008
Botpalád,49,2,0.6931471805599453,1.0
Botykapeterd,35,2,0.6931471805599453,1.0
Bozsok,26,2,0.6931471805599453,1.0
Bozzai,37,2,0.6931471805599453,1.0
Bucsa,93,4,1.3862943611198906,1.0
Bucsu,31,2,0.6931471805599453,1.0
Bucsuta,31,2,0.6931471805599453,1.0
Budajenő,36,4,1.0397207708399179,0.5047
Budakalász,79,16,1.861986108168706,0.2129
Budakeszi,31,32,2.0976093742236643,0.2231
Budapest I. kerület,29,40,2.1314764612134365,0.1828
Budapest II. kerület,12,146,2.267103993868497,0.334
Budapest III. kerület,35,224,2.276390363380365,0.2351
Budapest IV. kerület,51,168,2.2750540154040393,0.4246
Budapest IX. kerület,30,106,2.260203928906427,0.4564
Budapest V. kerület,22,42,2.178030807625053,0.3611
Budapest VI. kerület,25,60,2.19403911900683,0.1826
Budapest VII. kerület,34,76,2.2419616785876437,0.4431
Budapest VIII. kerület,29,124,2.2470284767650637,0.1413
Budapest X. kerület,32,152,2.2960706047230395,0.9929
Budapest XI. kerület,26,236,2.2811159018024507,0.3441
Budapest XII. kerület,17,110,2.236276576159833,0.1171
Budapest XIII. kerület,14,196,2.2812418112432082,0.5038
Budapest XIV. kerület,34,200,2.277469733072778,0.3531
Budapest XIX. kerület,41,116,2.22067377111222,0.0298
Budapest XV. kerület,51,142,2.287002042565761,0.8884
Budapest XVI. kerület,51,120,2.263353562933993,0.4173
Budapest XVII. kerület,48,150,2.2628681696163637,0.2311
Budapest XVIII. kerület,65,152,2.2668658644959434,0.2865
Budapest XX. kerület,54,122,2.255505347179784,0.2528
Budapest XXI. kerület,51,140,2.2557804063672515,0.1642
Budapest XXII. kerület,64,74,2.2376476723295866,0.4061
Budapest XXIII. kerület,73,48,2.1696755871408655,0.2093
Budaörs,52,40,2.095816526981911,0.0834
Bugac,5,8,1.7328679513998633,0.8178
Bugacpusztaháza,29,2,0.6931471805599453,1.0
Bugyi,14,14,1.7347645210257752,0.1266
Buj,81,6,1.242453324894,0.143
Buják,129,4,0.6931471805599453,0.0624
Buzsák,46,4,1.3862943611198906,1.0
Bábolna,49,8,1.4941751382893083,0.1558
Bábonymegyer,92,2,0.6931471805599453,1.0
Bácsalmás,75,12,1.7481554572476763,0.2743
Bácsbokod,70,6,1.3296613488547582,0.4055
Bácsborsód,156,2,0.0,0.1008
Bácsszentgyörgy,12,2,0.6931471805599453,1.0
Bácsszőlős,37,2,0.0,0.1008
Bágyogszovát,38,4,1.0397207708399179,0.5047
Bálványos,60,2,0.0,0.1008
Bánd,81,2,0.6931471805599453,1.0
Bánfa,5,2,0.6931471805599453,1.0
Bánhorváti,79,4,1.3862943611198906,1.0
Bánk,84,2,0.6931471805599453,1.0
Bánokszentgyörgy,99,2,0.6931471805599453,1.0
Bánréve,163,2,0.6931471805599453,1.0
