Telepules,p_ld_Fidesz_twins_2014,n_wards_2014,min_Fidesz_votes_2014,p_ld_Fidesz_twins_2018,n_wards_2018,min_Fidesz_votes_2018,p_ld_Fidesz_twins_2019,n_wards_2019,min_Fidesz_votes_2019,p_last_2_regular,p_all_regular
Zagyvaszántó,1.0,2,174,0.09999999999999998,2,216,1.0,2,120,0.09999999999999998,0.09999999999999998
Cserszegtomaj,1.0,2,287,0.09999999999999998,2,374,1.0,2,263,0.09999999999999998,0.09999999999999998
Csetény,1.0,2,201,0.09999999999999998,2,312,1.0,2,195,0.09999999999999998,0.09999999999999998
Türje,1.0,2,53,1.0,2,84,0.09999999999999998,2,44,0.09999999999999998,0.09999999999999998
Csörög,1.0,2,133,0.09999999999999998,2,213,1.0,2,131,0.09999999999999998,0.09999999999999998
Bokod,1.0,2,208,0.09999999999999998,2,277,1.0,2,169,0.09999999999999998,0.09999999999999998
Ják,1.0,2,296,0.09999999999999998,2,376,1.0,2,223,0.09999999999999998,0.09999999999999998
Álmosd,1.0,2,186,0.09999999999999998,2,201,1.0,2,95,0.09999999999999998,0.09999999999999998
Csévharaszt,1.0,2,208,0.09999999999999998,2,259,1.0,2,150,0.09999999999999998,0.09999999999999998
Bogyiszló,1.0,2,248,1.0,2,350,0.09999999999999998,2,187,0.09999999999999998,0.09999999999999998
Tótszerdahely,1.0,2,124,1.0,2,152,0.09999999999999998,2,95,0.09999999999999998,0.09999999999999998
Kulcs,1.0,2,242,1.0,2,312,0.09999999999999998,2,237,0.09999999999999998,0.09999999999999998
Écs,1.0,2,286,1.0,2,330,0.09999999999999998,2,242,0.09999999999999998,0.09999999999999998
Úrhida,1.0,2,256,1.0,2,318,0.09999999999999998,2,190,0.09999999999999998,0.09999999999999998
Úri,1.0,2,322,0.09999999999999998,2,343,1.0,2,245,0.09999999999999998,0.09999999999999998
Úrkút,1.0,2,202,0.09999999999999998,2,254,1.0,2,139,0.09999999999999998,0.09999999999999998
Érpatak,1.0,2,146,1.0,2,265,0.09999999999999998,2,169,0.09999999999999998,0.09999999999999998
Mezőgyán,1.0,2,25,0.09999999999999998,2,36,1.0,2,28,0.09999999999999998,0.09999999999999998
Katymár,1.0,2,191,1.0,2,224,0.09999999999999998,2,119,0.09999999999999998,0.09999999999999998
Péteri,1.0,2,179,0.09999999999999998,2,252,1.0,2,179,0.09999999999999998,0.09999999999999998
Nyírmeggyes,1.0,2,212,0.09999999999999998,2,318,1.0,2,201,0.09999999999999998,0.09999999999999998
Nyírmihálydi,1.0,2,243,1.0,2,274,0.09999999999999998,2,221,0.09999999999999998,0.09999999999999998
Hortobágy,1.0,2,30,0.09999999999999998,2,53,1.0,2,24,0.09999999999999998,0.09999999999999998
