Telepules,p_ld_Fidesz_twins_2014,n_wards_2014,min_Fidesz_votes_2014,p_ld_Fidesz_twins_2018,n_wards_2018,min_Fidesz_votes_2018,p_ld_Fidesz_twins_2019,n_wards_2019,min_Fidesz_votes_2019,p_last_2_regular,p_all_regular
Iváncsa,1.0,2,233,1.0,2,336,1.0,2,197,1.0,1.0
Igar,1.0,3,47,1.0,3,71,1.0,3,34,1.0,1.0
Iharos,1.0,1,98,1.0,1,133,1.0,1,85,1.0,1.0
Iharosberény,1.0,1,226,1.0,1,321,1.0,1,180,1.0,1.0
Ikervár,1.0,2,212,1.0,2,281,1.0,2,173,1.0,1.0
Iklad,1.0,2,209,1.0,2,215,1.0,2,156,1.0,1.0
Iklanberény,1.0,1,19,1.0,1,28,1.0,1,18,1.0,1.0
Iklódbördőce,1.0,1,68,1.0,1,101,1.0,1,80,1.0,1.0
Illocska,1.0,1,39,1.0,1,79,1.0,1,49,1.0,1.0
Ikrény,1.0,2,189,1.0,2,241,1.0,2,156,1.0,1.0
Imola,1.0,1,41,1.0,1,36,1.0,1,34,1.0,1.0
Inke,1.0,1,208,1.0,1,347,1.0,1,150,1.0,1.0
Ipacsfa,1.0,1,68,1.0,1,73,1.0,1,61,1.0,1.0
Ipolydamásd,1.0,1,89,1.0,1,126,1.0,1,94,1.0,1.0
Ipolyszög,1.0,1,120,1.0,1,172,1.0,1,126,1.0,1.0
Ipolytarnóc,1.0,1,131,1.0,1,139,1.0,1,82,1.0,1.0
Ipolytölgyes,1.0,1,78,1.0,1,102,1.0,1,68,1.0,1.0
Ipolyvece,1.0,1,242,1.0,1,285,1.0,1,182,1.0,1.0
Irota,1.0,1,25,1.0,1,26,1.0,1,23,1.0,1.0
Ispánk,1.0,1,41,1.0,1,40,1.0,1,38,1.0,1.0
Istenmezeje,1.0,3,46,1.0,3,56,1.0,3,48,1.0,1.0
Istvándi,1.0,1,83,1.0,1,145,1.0,1,80,1.0,1.0
Iszkaszentgyörgy,1.0,2,154,1.0,2,201,1.0,2,135,1.0,1.0
Iszkáz,1.0,1,135,1.0,1,167,1.0,1,116,1.0,1.0
Isztimér,1.0,2,32,1.0,2,31,1.0,2,20,1.0,1.0
Ivád,1.0,1,101,1.0,1,128,1.0,1,88,1.0,1.0
Iván,1.0,1,299,1.0,1,348,1.0,1,246,1.0,1.0
Ivánbattyán,1.0,1,30,1.0,1,28,1.0,1,25,1.0,1.0
Ivánc,1.0,1,148,1.0,1,171,1.0,1,134,1.0,1.0
Imrehegy,1.0,1,175,1.0,1,240,1.0,1,146,1.0,1.0
Iliny,1.0,1,69,1.0,1,72,1.0,1,54,1.0,1.0
Ilk,1.0,1,270,1.0,1,475,1.0,1,372,1.0,1.0
Igrici,1.0,1,142,1.0,1,343,1.0,1,210,1.0,1.0
Jobaháza,1.0,1,146,1.0,1,185,1.0,1,145,1.0,1.0
Juta,1.0,1,260,1.0,1,309,1.0,1,219,1.0,1.0
Jágónak,1.0,1,64,1.0,1,90,1.0,1,49,1.0,1.0
Jákfa,1.0,1,100,1.0,1,159,1.0,1,98,1.0,1.0
Jákfalva,1.0,1,135,1.0,1,92,1.0,1,63,1.0,1.0
Jákó,1.0,1,116,1.0,1,212,1.0,1,130,1.0,1.0
Jánd,1.0,1,222,1.0,1,282,1.0,1,245,1.0,1.0
Izmény,1.0,1,130,1.0,1,172,1.0,1,112,1.0,1.0
Jánkmajtis,1.0,1,335,1.0,1,646,1.0,1,464,1.0,1.0
Jánoshida,1.0,3,149,1.0,3,169,1.0,3,120,1.0,1.0
Jánosháza,1.0,3,138,1.0,3,206,1.0,3,122,1.0,1.0
Jánossomorja,1.0,7,64,1.0,7,86,1.0,7,41,1.0,1.0
Járdánháza,1.0,2,113,1.0,2,138,1.0,2,84,1.0,1.0
Jármi,1.0,1,276,1.0,1,352,1.0,1,235,1.0,1.0
Jásd,1.0,1,221,1.0,1,268,1.0,1,218,1.0,1.0
Jászboldogháza,1.0,2,265,1.0,2,308,1.0,2,218,1.0,1.0
Jászdózsa,1.0,3,121,1.0,3,190,1.0,3,108,1.0,1.0
Jenő,1.0,1,313,1.0,1,406,1.0,1,282,1.0,1.0
Jászfelsőszentgyörgy,1.0,2,145,1.0,2,211,1.0,2,140,1.0,1.0
Jászivány,1.0,1,109,1.0,1,159,1.0,1,138,1.0,1.0
Jászkarajenő,1.0,3,179,1.0,3,238,1.0,3,131,1.0,1.0
Hásságy,1.0,1,93,1.0,1,61,1.0,1,92,1.0,1.0
Ivándárda,1.0,1,51,1.0,1,54,1.0,1,34,1.0,1.0
Jakabszállás,1.0,2,356,1.0,2,499,1.0,2,287,1.0,1.0
Jászladány,1.0,6,140,1.0,6,225,1.0,6,116,1.0,1.0
Jászszentandrás,1.0,2,301,1.0,2,364,1.0,2,281,1.0,1.0
Jászszentlászló,1.0,2,333,1.0,2,408,1.0,2,255,1.0,1.0
Jászágó,1.0,1,149,1.0,1,211,1.0,1,120,1.0,1.0
Jéke,1.0,1,136,1.0,1,212,1.0,1,113,1.0,1.0
Ináncs,1.0,1,253,1.0,1,306,1.0,1,194,1.0,1.0
Jósvafő,1.0,1,49,1.0,1,72,1.0,1,44,1.0,1.0
Kacsóta,1.0,1,50,1.0,1,85,1.0,1,43,1.0,1.0
Kajdacs,1.0,1,211,1.0,1,293,1.0,1,180,1.0,1.0
Kajárpéc,1.0,2,161,1.0,1,465,1.0,1,309,1.0,1.0
Kajászó,1.0,1,281,1.0,1,339,1.0,1,235,1.0,1.0
Kakasd,1.0,2,295,1.0,2,354,1.0,2,244,1.0,1.0
Kalaznó,1.0,1,51,1.0,1,46,1.0,1,36,1.0,1.0
Kallósd,1.0,1,41,1.0,1,46,1.0,1,38,1.0,1.0
Kamond,1.0,1,101,1.0,1,134,1.0,1,87,1.0,1.0
Kacorlak,1.0,1,53,1.0,1,70,1.0,1,52,1.0,1.0
Hédervár,1.0,1,271,1.0,1,372,1.0,1,225,1.0,1.0
Kapolcs,1.0,1,97,1.0,1,129,1.0,1,76,1.0,1.0
Kerecsend,1.0,2,265,1.0,2,363,1.0,2,159,1.0,1.0
Kaposszekcső,1.0,2,47,1.0,2,80,1.0,2,54,1.0,1.0
Kaposszerdahely,1.0,1,220,1.0,1,303,1.0,1,204,1.0,1.0
Kaposújlak,1.0,1,156,1.0,1,196,1.0,1,128,1.0,1.0
Karakó,1.0,1,28,1.0,1,50,1.0,1,30,1.0,1.0
Karakószörcsök,1.0,1,81,1.0,1,114,1.0,1,70,1.0,1.0
Karancsalja,1.0,2,144,1.0,2,174,1.0,2,107,1.0,1.0
Karancsberény,1.0,1,177,1.0,1,231,1.0,1,162,1.0,1.0
Karancslapujtő,1.0,3,174,1.0,3,252,1.0,3,140,1.0,1.0
Karancsság,1.0,1,327,1.0,1,362,1.0,1,148,1.0,1.0
Karcsa,1.0,2,98,1.0,2,161,1.0,2,99,1.0,1.0
Kardos,1.0,1,174,1.0,1,195,1.0,1,141,1.0,1.0
Kardoskút,1.0,1,189,1.0,1,188,1.0,1,116,1.0,1.0
Karmacs,1.0,1,207,1.0,1,272,1.0,1,174,1.0,1.0
Karos,1.0,1,132,1.0,1,155,1.0,1,85,1.0,1.0
Karácsond,1.0,3,131,1.0,3,220,1.0,3,135,1.0,1.0
Kaskantyú,1.0,1,310,1.0,1,359,1.0,1,232,1.0,1.0
Kemenesszentmárton,1.0,1,64,1.0,1,75,1.0,1,55,1.0,1.0
Kapospula,1.0,2,49,1.0,2,67,1.0,2,45,1.0,1.0
Kemenesszentpéter,1.0,1,184,1.0,1,229,1.0,1,153,1.0,1.0
Kaposkeresztúr,1.0,1,64,1.0,1,75,1.0,1,40,1.0,1.0
Kaposgyarmat,1.0,1,23,1.0,1,27,1.0,1,21,1.0,1.0
Katafa,1.0,1,138,1.0,1,142,1.0,1,107,1.0,1.0
Katádfa,1.0,1,43,1.0,1,58,1.0,1,36,1.0,1.0
Kazsok,1.0,1,75,1.0,1,131,1.0,1,75,1.0,1.0
Kecskéd,1.0,2,225,1.0,2,244,1.0,2,172,1.0,1.0
Kehidakustány,1.0,2,101,1.0,2,165,1.0,2,120,1.0,1.0
Kelebia,1.0,4,25,1.0,4,39,1.0,4,21,1.0,1.0
Kelemér,1.0,1,66,1.0,1,96,1.0,1,63,1.0,1.0
Kelevíz,1.0,1,56,1.0,1,105,1.0,1,62,1.0,1.0
Keléd,1.0,1,16,1.0,1,24,1.0,1,18,1.0,1.0
Kemence,1.0,1,294,1.0,1,377,1.0,1,289,1.0,1.0
Kemeneshőgyész,1.0,1,123,1.0,1,136,1.0,1,91,1.0,1.0
Kemeneskápolna,1.0,1,27,1.0,1,40,1.0,1,27,1.0,1.0
Kemenesmagasi,1.0,1,218,1.0,1,352,1.0,1,246,1.0,1.0
Kemenesmihályfa,1.0,1,124,1.0,1,188,1.0,1,122,1.0,1.0
Kemenespálfa,1.0,1,118,1.0,1,167,1.0,1,95,1.0,1.0
Kastélyosdombó,1.0,1,44,1.0,1,60,1.0,1,39,1.0,1.0
Karád,1.0,2,179,1.0,2,230,1.0,2,144,1.0,1.0
Kaposhomok,1.0,1,73,1.0,1,119,1.0,1,76,1.0,1.0
Kemenessömjén,1.0,1,150,1.0,1,206,1.0,1,117,1.0,1.0
Kerékteleki,1.0,1,120,1.0,1,192,1.0,1,101,1.0,1.0
Keszeg,1.0,1,184,1.0,1,225,1.0,1,161,1.0,1.0
Keménfa,1.0,1,23,1.0,1,24,1.0,1,23,1.0,1.0
Kenderes,1.0,5,158,1.0,5,168,1.0,5,120,1.0,1.0
Kengyel,1.0,5,93,1.0,5,101,1.0,5,50,1.0,1.0
Kenyeri,1.0,1,300,1.0,1,369,1.0,1,275,1.0,1.0
Kenéz,1.0,1,88,1.0,1,105,1.0,1,73,1.0,1.0
Kenézlő,1.0,1,248,1.0,1,303,1.0,1,171,1.0,1.0
Kercaszomor,1.0,1,79,1.0,1,96,1.0,1,89,1.0,1.0
Kaposfő,1.0,2,147,1.0,2,189,1.0,2,118,1.0,1.0
Kercseliget,1.0,1,72,1.0,1,101,1.0,1,64,1.0,1.0
Kerecseny,1.0,1,15,1.0,1,53,1.0,1,22,1.0,1.0
Kerekharaszt,1.0,1,218,1.0,1,321,1.0,1,222,1.0,1.0
Kereki,1.0,1,110,1.0,1,157,1.0,1,105,1.0,1.0
Keresztéte,1.0,1,21,1.0,1,11,1.0,1,9,1.0,1.0
Kerkabarabás,1.0,1,64,1.0,1,87,1.0,1,82,1.0,1.0
Kerkafalva,1.0,1,47,1.0,1,50,1.0,1,44,1.0,1.0
Kerkakutas,1.0,1,44,1.0,1,56,1.0,1,47,1.0,1.0
Kerkaszentkirály,1.0,1,45,1.0,1,54,1.0,1,43,1.0,1.0
Kemse,1.0,1,23,1.0,1,27,1.0,1,20,1.0,1.0
Kemestaródfa,1.0,1,86,1.0,1,103,1.0,1,77,1.0,1.0
Kerkateskánd,1.0,1,42,1.0,1,58,1.0,1,40,1.0,1.0
Kerkáskápolna,1.0,1,31,1.0,1,26,1.0,1,26,1.0,1.0
Kesznyéten,1.0,2,144,1.0,2,195,1.0,2,119,1.0,1.0
Keszü,1.0,1,227,1.0,1,254,1.0,1,198,1.0,1.0
Keszőhidegkút,1.0,1,34,1.0,1,39,1.0,1,62,1.0,1.0
Kevermes,1.0,2,254,1.0,2,244,1.0,2,156,1.0,1.0
Kilimán,1.0,1,52,1.0,1,58,1.0,1,33,1.0,1.0
Kimle,1.0,3,46,1.0,3,78,1.0,3,56,1.0,1.0
Kincsesbánya,1.0,2,158,1.0,2,205,1.0,2,119,1.0,1.0
Királd,1.0,2,23,1.0,2,32,1.0,2,35,1.0,1.0
Kapoly,1.0,1,126,1.0,1,181,1.0,1,103,1.0,1.0
Királyegyháza,1.0,1,184,1.0,1,217,1.0,1,126,1.0,1.0
Királyszentistván,1.0,1,69,1.0,1,108,1.0,1,70,1.0,1.0
Kisapáti,1.0,1,91,1.0,1,106,1.0,1,77,1.0,1.0
Kisar,1.0,1,263,1.0,1,353,1.0,1,232,1.0,1.0
Kisasszond,1.0,1,47,1.0,1,46,1.0,1,36,1.0,1.0
Kisasszonyfa,1.0,1,38,1.0,1,42,1.0,1,28,1.0,1.0
Kisbabot,1.0,1,80,1.0,1,105,1.0,1,92,1.0,1.0
Kertészsziget,1.0,1,94,1.0,1,115,1.0,1,63,1.0,1.0
Kerta,1.0,1,152,1.0,1,239,1.0,1,113,1.0,1.0
Királyhegyes,1.0,2,11,1.0,2,16,1.0,2,12,1.0,1.0
Kisberzseny,1.0,1,38,1.0,1,42,1.0,1,29,1.0,1.0
Lovászhetény,1.0,1,43,1.0,1,79,1.0,1,45,1.0,1.0
Lábod,1.0,2,142,1.0,2,228,1.0,2,138,1.0,1.0
Kisbudmér,1.0,1,25,1.0,1,29,1.0,1,22,1.0,1.0
Kisbágyon,1.0,1,87,1.0,1,111,1.0,1,63,1.0,1.0
Kisbárapáti,1.0,1,95,1.0,1,117,1.0,1,70,1.0,1.0
Kisbárkány,1.0,1,85,1.0,1,98,1.0,1,76,1.0,1.0
Kiscsehi,1.0,1,63,1.0,1,76,1.0,1,50,1.0,1.0
Kiscsécs,1.0,1,87,1.0,1,96,1.0,1,72,1.0,1.0
Kiscsősz,1.0,1,38,1.0,1,47,1.0,1,41,1.0,1.0
Kisdobsza,1.0,1,64,1.0,1,80,1.0,1,51,1.0,1.0
Kisdombegyház,1.0,1,161,1.0,1,155,1.0,1,109,1.0,1.0
Kisdorog,1.0,1,160,1.0,1,206,1.0,1,178,1.0,1.0
Kisdér,1.0,1,27,1.0,1,44,1.0,1,31,1.0,1.0
Kisecset,1.0,1,57,1.0,1,70,1.0,1,65,1.0,1.0
Kisfalud,1.0,1,286,1.0,1,334,1.0,1,254,1.0,1.0
Kisfüzes,1.0,1,46,1.0,1,58,1.0,1,52,1.0,1.0
Kisgyalán,1.0,1,49,1.0,1,60,1.0,1,39,1.0,1.0
Kisgyőr,1.0,2,148,1.0,2,206,1.0,2,146,1.0,1.0
Kishajmás,1.0,1,27,1.0,1,41,1.0,1,28,1.0,1.0
Kisbucsa,1.0,1,131,1.0,1,166,1.0,1,104,1.0,1.0
Kisnána,1.0,1,179,1.0,1,244,1.0,1,142,1.0,1.0
Kisbodak,1.0,1,98,1.0,1,112,1.0,1,105,1.0,1.0
Kisgörbő,1.0,1,49,1.0,1,48,1.0,1,47,1.0,1.0
Kisjakabfalva,1.0,1,43,1.0,1,45,1.0,1,45,1.0,1.0
Kiskassa,1.0,1,61,1.0,1,50,1.0,1,38,1.0,1.0
Kiskinizs,1.0,1,102,1.0,1,122,1.0,1,89,1.0,1.0
Kiskorpád,1.0,1,152,1.0,1,227,1.0,1,137,1.0,1.0
Kiskutas,1.0,1,51,1.0,1,67,1.0,1,56,1.0,1.0
Kisköre,1.0,3,102,1.0,3,167,1.0,3,89,1.0,1.0
Kislippó,1.0,1,45,1.0,1,84,1.0,1,44,1.0,1.0
Kisláng,1.0,2,175,1.0,2,260,1.0,2,114,1.0,1.0
Kisléta,1.0,1,469,1.0,1,526,1.0,1,299,1.0,1.0
Kislőd,1.0,1,268,1.0,1,315,1.0,1,218,1.0,1.0
Kismarja,1.0,1,352,1.0,1,433,1.0,1,262,1.0,1.0
Kismaros,1.0,2,275,1.0,2,328,1.0,2,283,1.0,1.0
Kismányok,1.0,1,66,1.0,1,80,1.0,1,70,1.0,1.0
Kisnamény,1.0,1,119,1.0,1,102,1.0,1,69,1.0,1.0
Kishartyán,1.0,1,116,1.0,1,154,1.0,1,109,1.0,1.0
Kisnyárád,1.0,1,10,1.0,1,15,1.0,1,35,1.0,1.0
Kisharsány,1.0,1,120,1.0,1,137,1.0,1,77,1.0,1.0
Kisbeszterce,1.0,1,13,1.0,1,21,1.0,1,14,1.0,1.0
Kisnémedi,1.0,1,144,1.0,1,222,1.0,1,149,1.0,1.0
Kisoroszi,1.0,1,274,1.0,1,305,1.0,1,274,1.0,1.0
Kisvejke,1.0,1,55,1.0,1,78,1.0,1,46,1.0,1.0
Kispáli,1.0,1,84,1.0,1,120,1.0,1,100,1.0,1.0
Kisrozvágy,1.0,1,24,1.0,1,59,1.0,1,50,1.0,1.0
Kisrákos,1.0,1,86,1.0,1,86,1.0,1,72,1.0,1.0
Kisrécse,1.0,1,35,1.0,1,54,1.0,1,37,1.0,1.0
Kissikátor,1.0,1,68,1.0,1,64,1.0,1,52,1.0,1.0
Kissomlyó,1.0,1,54,1.0,1,74,1.0,1,36,1.0,1.0
Kisszekeres,1.0,1,85,1.0,1,166,1.0,1,150,1.0,1.0
Korlát,1.0,1,74,1.0,1,104,1.0,1,84,1.0,1.0
Kisszentmárton,1.0,2,8,1.0,2,11,1.0,2,8,1.0,1.0
Kisszállás,1.0,3,47,1.0,3,92,1.0,3,60,1.0,1.0
Kisszékely,1.0,1,112,1.0,1,114,1.0,1,97,1.0,1.0
Kisszőlős,1.0,1,42,1.0,1,53,1.0,1,28,1.0,1.0
Kistamási,1.0,1,37,1.0,1,48,1.0,1,31,1.0,1.0
Kistapolca,1.0,1,55,1.0,1,49,1.0,1,30,1.0,1.0
